log2_N,N,1st FFT_T,Transpose_T,2nd FFT_T
8,256,4097,2206,4151
8,256,4095,2182,4190
8,256,4092,2194,4182
8,256,4104,2204,4149
8,256,4083,2177,4149
8,256,4083,2188,4152
8,256,4090,2175,4176
8,256,4086,2196,4177
8,256,4114,2186,4156
8,256,4097,2188,4152
9,512,14313,8431,14286
9,512,14263,8431,14327
9,512,14261,8439,14331
9,512,14282,8429,14310
9,512,14236,8428,14302
9,512,14760,8426,14276
9,512,14699,9090,14828
9,512,14245,8437,14288
9,512,14822,8771,14527
9,512,14311,8429,14373
10,1024,47020,32601,47451
10,1024,46983,32671,47098
10,1024,47000,32586,47087
10,1024,47042,32587,47065
10,1024,46991,32735,47096
10,1024,46976,32585,47034
10,1024,46958,32594,47030
10,1024,46909,32592,47002
10,1024,46932,32590,47039
10,1024,47054,32592,47080
11,2048,211596,129704,211388
11,2048,211358,129719,211528
11,2048,213273,129662,211565
11,2048,211462,129701,211437
11,2048,211659,129691,211494
11,2048,211467,129667,211366
11,2048,211496,129693,211457
11,2048,213408,131063,211913
11,2048,211383,129750,211868
11,2048,211468,129772,211516
