log2_N,init_T,1_FFT_T,Transpose_T,2_FFT_T,RMS_T,totalFFT_T,total_T
8,15202,4250,2397,4193,69035,10840,95077
8,14466,4242,2411,4183,68373,10836,93675
8,14221,4305,2383,4175,68321,10863,93405
8,14335,4225,2404,4225,68316,10854,93505
8,14304,4248,2418,4163,68854,10829,93987
8,14298,4249,2388,4181,68420,10818,93536
8,14388,4246,2399,4195,69539,10840,94767
8,24857,4344,2396,4168,68434,10908,104199
8,14356,4247,2420,4199,68861,10866,94083
8,15217,4271,2503,4207,121109,10981,147307
9,120755,15445,9624,15788,321652,40857,483264
9,56969,14748,9066,14738,273768,38552,369289
9,56760,14731,9125,14735,275476,38591,370827
9,56685,14762,9102,14674,274876,38538,370099
9,57040,14786,9044,14679,276532,38509,372081
9,57094,14744,9066,14701,273600,38511,369205
9,57010,14776,9065,14711,274615,38552,370177
9,56974,14762,9105,14651,276367,38518,371859
9,56946,14741,9049,14708,275092,38498,370536
9,57715,14745,9076,14684,274360,38505,370580
10,236412,48515,35673,48367,1095830,132555,1464797
10,227272,48634,35727,48511,1098106,132872,1458250
10,227750,48631,35702,48403,1098987,132736,1459473
10,230068,48604,35633,48441,1097037,132678,1459783
10,230795,48656,35700,48415,1359015,132771,1722581
10,227139,48680,35804,48473,1101656,132957,1461752
10,228245,48572,35698,48567,1099935,132837,1461017
10,227605,48552,35683,48409,1095316,132644,1455565
10,229873,48578,35690,48482,1098745,132750,1461368
10,229445,48527,35703,48521,1378618,132751,1740814
11,1174170,225819,143073,224284,5112968,593176,6880314
11,921793,224142,142175,224029,4702589,590346,6214728
11,912262,224181,141967,224224,4392388,590372,5895022
11,909987,224235,142036,224198,4637584,590469,6138040
11,910526,224223,142047,224035,4701931,590305,6202762
11,971134,225705,143330,224365,5145092,593400,6709626
11,917770,224188,142025,226121,4799180,592334,6309284
11,1160774,224722,142131,224273,4405710,591126,6157610
11,911765,224231,142177,224231,4642114,590639,6144518
11,911400,224461,142061,224312,5355011,590834,6857245
REL_RMS_ERR for log2_N:8
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,
REL_RMS_ERR for log2_N:9
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,
REL_RMS_ERR for log2_N:10
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,
REL_RMS_ERR for log2_N:11
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,

